amenity,addr_city,name,x,y,geometry
education,Manila,Ramon Q. Avancena High School,120.989305,14.59375238,"POLYGON ((120.9896793 14.5933585, 120.9895529 14.5933696, 120.989448 14.5933844, 120.989019 14.5935864, 120.9888295 14.5938145, 120.9886983 14.5939824, 120.9892978 14.5940273, 120.9896704 14.5940599, 120.9896793 14.5933585))"
education,Manila,M. Araullo High School,120.9852392,14.58334451,"POLYGON ((120.9848374 14.582605, 120.9845623 14.5830629, 120.9843103 14.5835083, 120.9856183 14.5841854, 120.9858724 14.5836067, 120.9861123 14.5830009, 120.9854577 14.5827976, 120.9848374 14.582605))"
education,Manila,Mapúa University,120.9781594,14.59047878,"POLYGON ((120.9780535 14.5896042, 120.97728 14.5904718, 120.9781785 14.5912126, 120.9784359 14.5914045, 120.9784877 14.591335, 120.978515 14.5912819, 120.978548 14.5911826, 120.9785525 14.5911705, 120.9785617 14.5911502, 120.9786517 14.5909549, 120.9788059 14.5905884, 120.9788319 14.5905235, 120.9789227 14.5903304, 120.9787671 14.5901896, 120.9780535 14.5896042))"
education,Manila,University of the Philippines - Manila,120.9864941,14.57599852,"POLYGON ((120.9853291 14.5749069, 120.9848504 14.5757609, 120.9854054 14.5760421, 120.9858898 14.5762893, 120.9875149 14.577139, 120.987682 14.5768565, 120.9880865 14.5760932, 120.9875044 14.5758453, 120.9866269 14.5754704, 120.9862656 14.5753162, 120.9857174 14.5750823, 120.9853291 14.5749069))"
education,Manila,Technological University of the Philippines,120.984566,14.58711004,"POLYGON ((120.9840712 14.5862039, 120.9838317 14.5868319, 120.9835571 14.5870313, 120.984483 14.5883411, 120.9847576 14.5883396, 120.9849886 14.5877051, 120.9856068 14.5864012, 120.9852621 14.5863233, 120.9851917 14.5863129, 120.9847914 14.5862818, 120.9840712 14.5862039))"
education,Manila,P. Gomez Elementary School,120.9854289,14.60853434,"POLYGON ((120.9848928 14.6076184, 120.9850441 14.6094343, 120.9860116 14.6093878, 120.9859517 14.6088228, 120.9858002 14.607848, 120.9855574 14.6075798, 120.9848928 14.6076184))"
education,Manila,Paco Catholic School,120.9944146,14.5792148,"POLYGON ((120.9952003 14.5787722, 120.994348 14.5785744, 120.9942739 14.57886, 120.9937484 14.5787397, 120.9935681 14.5794789, 120.9935573 14.5796564, 120.9950668 14.5797524, 120.9951548 14.5791918, 120.9952003 14.5787722))"
education,Manila,Justo Lukban Elementary School,120.9930591,14.58137401,"POLYGON ((120.9920482 14.5814039, 120.9941228 14.5818445, 120.9940611 14.5815419, 120.9939876 14.5812636, 120.992011 14.5809605, 120.9919275 14.5813218, 120.9920482 14.5814039))"
education,Manila,Philippine Normal University,120.9831729,14.58762007,"POLYGON ((120.9822908 14.5886301, 120.9834713 14.5886404, 120.9839581 14.5886446, 120.9839737 14.5893307, 120.9842047 14.5893819, 120.9844595 14.5887939, 120.9833429 14.5871683, 120.9835571 14.5870313, 120.9838317 14.5868319, 120.9840712 14.5862039, 120.983577 14.5861733, 120.9830798 14.5861114, 120.9829282 14.5860542, 120.9827021 14.5864768, 120.9821574 14.587378, 120.9821045 14.5877089, 120.9822908 14.5886301))"
education,Manila,Philippine Women's University,120.9897439,14.5744532,"POLYGON ((120.9891717 14.5747446, 120.9897942 14.5750712, 120.989888 14.5749036, 120.9903062 14.5741599, 120.9900526 14.5740252, 120.9896809 14.5738302, 120.9895905 14.5739917, 120.989609 14.5740014, 120.989538 14.5741282, 120.9895285 14.5741232, 120.9894827 14.5742048, 120.9894935 14.5742105, 120.9893746 14.5744224, 120.9893645 14.5744171, 120.9893567 14.574431, 120.9893416 14.5744579, 120.9893186 14.574499, 120.9893312 14.5745056, 120.9892681 14.5746183, 120.9892483 14.5746079, 120.9891717 14.5747446))"
education,Manila,Manila Science High School,120.9863567,14.58065192,"POLYGON ((120.9858225 14.5808423, 120.9862245 14.5810662, 120.9865334 14.581229, 120.9865926 14.5811309, 120.9867388 14.5808698, 120.9868272 14.5807417, 120.9867181 14.580693, 120.9866175 14.5806417, 120.9867881 14.5803082, 120.9862588 14.5800592, 120.9858225 14.5808423))"
education,Manila,Santa Isabel College,120.9839326,14.58563704,"POLYGON ((120.9847844 14.5855785, 120.9846696 14.585528, 120.9841218 14.5852649, 120.9835468 14.5849825, 120.9831049 14.5857398, 120.9834011 14.5858879, 120.9833663 14.5859876, 120.9843978 14.5861312, 120.9845406 14.5861364, 120.9847776 14.5855939, 120.9847844 14.5855785))"
education,Manila,Far Eastern University,120.9865623,14.60380505,"POLYGON ((120.9872721 14.6030094, 120.9871912 14.6025901, 120.9871364 14.6025862, 120.9870511 14.6026137, 120.9870082 14.6026267, 120.9868798 14.6026906, 120.9868886 14.6027782, 120.986586 14.6029001, 120.986669 14.6031078, 120.9865857 14.603135, 120.9858262 14.6034392, 120.9857387 14.6034504, 120.9856715 14.6034659, 120.9853279 14.6035727, 120.9853357 14.6036082, 120.9855049 14.6043762, 120.9856434 14.6044442, 120.9858121 14.604527, 120.9867611 14.6045319, 120.9871442 14.6045327, 120.9873982 14.6045333, 120.9876309 14.6044873, 120.987635 14.6044639, 120.987525 14.6040402, 120.9874977 14.6039854, 120.9873207 14.6032206, 120.9872721 14.6030094))"
education,Manila,San Beda University,120.9929612,14.59979942,"POLYGON ((120.993239 14.598427, 120.9931625 14.5985016, 120.9920309 14.5996021, 120.9914137 14.6001868, 120.9914298 14.6002816, 120.9915049 14.6004256, 120.9916014 14.6005249, 120.9918214 14.6006099, 120.992154 14.6006073, 120.9925148 14.6004918, 120.9929359 14.6005865, 120.9935722 14.6007857, 120.9936078 14.6007838, 120.993638 14.6007747, 120.9941509 14.6000376, 120.994336 14.5997793, 120.993528 14.5990415, 120.9936447 14.5986567, 120.993534 14.5986294, 120.9935568 14.5985139, 120.993239 14.598427))"
education,Manila,Bagong Diwa Elementary School,121.0053611,14.58827059,"POLYGON ((121.005308 14.5879736, 121.0050677 14.588169, 121.0054157 14.5885688, 121.0056537 14.5883704, 121.005308 14.5879736))"
